path,scan_root,depth,size_bytes,size_human,category,risk
C:\Program Files (x86)\Google,C:\Program Files (x86),1,519303506,495.25 MB,directory,manual_review
C:\Program Files (x86)\Google\GoogleUpdater,C:\Program Files (x86),2,510575290,486.92 MB,directory,manual_review
C:\Program Files\Google\Chrome,C:\Program Files,2,494320197,471.42 MB,directory,manual_review
C:\Program Files\Google,C:\Program Files,1,494320197,471.42 MB,directory,manual_review
C:\Program Files\edb,C:\Program Files,1,476053102,454.00 MB,directory,manual_review
C:\Program Files\HP\Documentation,C:\Program Files,2,475730844,453.69 MB,directory,manual_review
C:\Program Files\Git,C:\Program Files,1,421761968,402.22 MB,directory,manual_review
C:\Program Files\McAfee,C:\Program Files,1,405003943,386.24 MB,directory,manual_review
C:\Program Files\Rockstar Games\Social Club,C:\Program Files,2,403903222,385.19 MB,directory,manual_review
C:\Program Files (x86)\dotnet\shared,C:\Program Files (x86),2,372685933,355.42 MB,directory,manual_review
C:\Program Files\edb\pem,C:\Program Files,2,370740278,353.57 MB,directory,manual_review
C:\Program Files (x86)\Steam\steamapps,C:\Program Files (x86),2,364210095,347.34 MB,directory,manual_review
C:\Program Files (x86)\Reference Assemblies\Microsoft,C:\Program Files (x86),2,353043555,336.69 MB,directory,manual_review
C:\Program Files (x86)\Reference Assemblies,C:\Program Files (x86),1,353043555,336.69 MB,directory,manual_review
C:\Program Files\Java\jdk-20,C:\Program Files,2,321568945,306.67 MB,directory,manual_review
C:\Program Files\Java,C:\Program Files,1,321568945,306.67 MB,directory,manual_review
C:\Program Files\Cisco Packet Tracer 8.2.2\bin,C:\Program Files,2,310964393,296.56 MB,directory,manual_review
C:\Program Files\McAfee\WPS,C:\Program Files,2,310622547,296.23 MB,directory,manual_review
C:\Program Files\PowerToys\WinUI3Apps,C:\Program Files,2,307775775,293.52 MB,directory,manual_review
C:\Program Files (x86)\Panda Security,C:\Program Files (x86),1,304239673,290.15 MB,directory,manual_review
C:\Program Files\Rockstar Games\Launcher,C:\Program Files,2,302106004,288.11 MB,directory,manual_review
C:\Program Files (x86)\Panda Security\Panda Security Protection,C:\Program Files (x86),2,300684433,286.76 MB,directory,manual_review
C:\Program Files\Wireshark,C:\Program Files,1,295526516,281.84 MB,directory,manual_review
C:\Program Files\NVIDIA Corporation\Installer2,C:\Program Files,2,265331008,253.04 MB,directory,manual_review
C:\Program Files (x86)\Steam\package,C:\Program Files (x86),2,251998486,240.32 MB,directory,manual_review
C:\Program Files\Zotero,C:\Program Files,1,238398554,227.35 MB,directory,manual_review
