software_name,category,decision,matched_projects,project_count,install_location,estimated_size,last_related_project_activity,confidence_score,explanation
Python 3.10.6 Test Suite (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.10.6 Test Suite (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.10.6 Utility Scripts (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.10.6 Utility Scripts (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.13.1 (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.13.1 (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.13.1 (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.13.1 (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.13.1 Add to Path (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.13.1 Add to Path (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.13.1 Core Interpreter (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.13.1 Core Interpreter (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.13.1 Development Libraries (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.13.1 Development Libraries (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.13.1 Documentation (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.13.1 Documentation (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.13.1 Executables (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.13.1 Executables (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.13.1 pip Bootstrap (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.13.1 pip Bootstrap (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.13.1 Standard Library (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.13.1 Standard Library (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.13.1 Tcl/Tk Support (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.13.1 Tcl/Tk Support (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python 3.13.1 Test Suite (64-bit),Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python 3.13.1 Test Suite (64-bit) 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python Launcher,Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python Launcher 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Python Launcher,Backend,KEEP,Seng321_Project,1,,,2026-01-19T09:50:24.122764+00:00,0.92,Python Launcher 1 projeyle iliskili bulundu. Eslestirme guveni 0.90 seviyesinde. Ilgili proje aktivitesi en son 2026-01-19T09:50:24.122764+00:00 tarihinde goruluyor.
Android Studio,Game Development,UNSURE,,0,,,,0.60,"Android Studio Game Development kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
Android Studio,Game Development,UNSURE,,0,,,,0.60,"Android Studio Game Development kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
Blender,Game Development,UNSURE,,0,,,,0.60,"Blender Game Development kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
Blender,Game Development,UNSURE,,0,C:\Program Files\Blender Foundation\Blender 4.4\,849.91 MB,,0.66,Blender Game Development kategorisinde ama aktif proje eslesmesi bulunamadi. Tahmini boyutu 849.91 MB oldugu icin silmeden once emin olmak gerekir.
Browser for SQL Server,Database,UNSURE,,0,,,,0.60,"Browser for SQL Server Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
Browser for SQL Server,Database,UNSURE,,0,,,,0.60,"Browser for SQL Server Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
Browser for SQL Server 2025,Database,UNSURE,,0,,,,0.60,"Browser for SQL Server 2025 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
Cisco Packet Tracer 8.2.2 64Bit,Network,UNSURE,,0,C:\Program Files\Cisco Packet Tracer 8.2.2\,854.08 KB,,0.60,"Cisco Packet Tracer 8.2.2 64Bit Network kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
Cisco Packet Tracer 8.2.2 64Bit ARP\Machine\X64\Cisco Packet,Network,UNSURE,,0,,,,0.60,"Cisco Packet Tracer 8.2.2 64Bit ARP\Machine\X64\Cisco Packet Network kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
Cisco Packet Tracer 8.2.2 64Bit ARP\Machine\X64\Cisco Packet Tracer,Network,UNSURE,,0,,,,0.60,"Cisco Packet Tracer 8.2.2 64Bit ARP\Machine\X64\Cisco Packet Tracer Network kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
CMake,Game Development,UNSURE,,0,,,,0.60,"CMake Game Development kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
CMake,Game Development,UNSURE,,0,C:\Program Files\CMake\,8.82 MB,,0.60,"CMake Game Development kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
DB Browser for SQLite,Database,UNSURE,,0,,,,0.60,"DB Browser for SQLite Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
DB Browser for SQLite,Database,UNSURE,,0,C:\Program Files\DB Browser for SQLite\,2.98 MB,,0.60,"DB Browser for SQLite Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
DBeaver 25.3.0 (current user),Database,UNSURE,,0,,,,0.60,"DBeaver 25.3.0 (current user) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
DBeaver 25.3.0 (current user),Database,UNSURE,,0,,,,0.60,"DBeaver 25.3.0 (current user) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
Docker Desktop,Backend,UNSURE,,0,,,,0.60,"Docker Desktop Backend kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
Docker Desktop,Backend,UNSURE,,0,C:\Program Files\Docker\Docker,3.09 GB,,0.66,Docker Desktop Backend kategorisinde ama aktif proje eslesmesi bulunamadi. Tahmini boyutu 3.09 GB oldugu icin silmeden once emin olmak gerekir.
GDR 1050 for SQL Server 2025,Database,UNSURE,,0,,,,0.60,"GDR 1050 for SQL Server 2025 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1050 for SQL Server 2025 (KB5073177),Database,UNSURE,,0,,,,0.60,"GDR 1050 for SQL Server 2025 (KB5073177) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1050 for SQL Server 2025 (KB5073177) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1050 for SQL Server 2025 (KB5073177) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1105 for SQL Server 2025,Database,UNSURE,,0,,,,0.60,"GDR 1105 for SQL Server 2025 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1105 for SQL Server 2025 (KB5077468),Database,UNSURE,,0,,,,0.60,"GDR 1105 for SQL Server 2025 (KB5077468) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1105 for SQL Server 2025 (KB5077468) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1105 for SQL Server 2025 (KB5077468) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1110 for SQL Server 2025,Database,UNSURE,,0,,,,0.60,"GDR 1110 for SQL Server 2025 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1110 for SQL Server 2025 (KB5084814),Database,UNSURE,,0,,,,0.60,"GDR 1110 for SQL Server 2025 (KB5084814) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1110 for SQL Server 2025 (KB5084814) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1110 for SQL Server 2025 (KB5084814) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1115 for SQL Server 2025,Database,UNSURE,,0,,,,0.60,"GDR 1115 for SQL Server 2025 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1115 for SQL Server 2025 (KB5091223),Database,UNSURE,,0,,,,0.60,"GDR 1115 for SQL Server 2025 (KB5091223) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1115 for SQL Server 2025 (KB5091223) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1115 for SQL Server 2025 (KB5091223) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1121 for SQL Server 2022,Database,UNSURE,,0,,,,0.60,"GDR 1121 for SQL Server 2022 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1121 for SQL Server 2022 (KB5040936),Database,UNSURE,,0,,,,0.60,"GDR 1121 for SQL Server 2022 (KB5040936) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1121 for SQL Server 2022 (KB5040936) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1121 for SQL Server 2022 (KB5040936) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1125 for SQL Server 2022,Database,UNSURE,,0,,,,0.60,"GDR 1125 for SQL Server 2022 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1125 for SQL Server 2022 (KB5042211),Database,UNSURE,,0,,,,0.60,"GDR 1125 for SQL Server 2022 (KB5042211) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1125 for SQL Server 2022 (KB5042211) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1125 for SQL Server 2022 (KB5042211) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1130 for SQL Server 2022,Database,UNSURE,,0,,,,0.60,"GDR 1130 for SQL Server 2022 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1130 for SQL Server 2022 (KB5046057),Database,UNSURE,,0,,,,0.60,"GDR 1130 for SQL Server 2022 (KB5046057) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1130 for SQL Server 2022 (KB5046057) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1130 for SQL Server 2022 (KB5046057) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1135 for SQL Server 2022,Database,UNSURE,,0,,,,0.60,"GDR 1135 for SQL Server 2022 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1135 for SQL Server 2022 (KB5046861),Database,UNSURE,,0,,,,0.60,"GDR 1135 for SQL Server 2022 (KB5046861) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1135 for SQL Server 2022 (KB5046861) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1135 for SQL Server 2022 (KB5046861) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1140 for SQL Server 2022,Database,UNSURE,,0,,,,0.60,"GDR 1140 for SQL Server 2022 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1140 for SQL Server 2022 (KB5058712),Database,UNSURE,,0,,,,0.60,"GDR 1140 for SQL Server 2022 (KB5058712) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1140 for SQL Server 2022 (KB5058712) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1140 for SQL Server 2022 (KB5058712) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1145 for SQL Server 2022,Database,UNSURE,,0,,,,0.60,"GDR 1145 for SQL Server 2022 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1145 for SQL Server 2022 (KB5063756),Database,UNSURE,,0,,,,0.60,"GDR 1145 for SQL Server 2022 (KB5063756) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1145 for SQL Server 2022 (KB5063756) (64-bit),Database,UNSURE,,0,,,,0.60,"GDR 1145 for SQL Server 2022 (KB5063756) (64-bit) Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
GDR 1150 for SQL Server 2022,Database,UNSURE,,0,,,,0.60,"GDR 1150 for SQL Server 2022 Database kategorisinde, ancak aktif proje iliskisi tespit edilmedi. Daha once gecici kullandiysan kaldirilabilir olabilir ama otomatik guven dusuk."
